cegme	training	ashton kutcher	I couldn't image ██████████████ in a serious role, but his performance truly
pa1vasanth	testing	Patrick  	The worst movie I have ever seen. The sound quality was bad, the cutting of the scenes was even worse and above all it was not logic and it had no speed...<br /><br />I first tought: "Oh No, I don't want the trail that proves that poor ███████ was an innocent killer". 	
pa1vasanth	testing	Hannah	The only original bit was the Brighton location for gangsters. It is certainly no "Lock Stock etc......." ██████ was likeable in "Sliding Doors".	
pa1vasanth	testing	Baywatch   	The characters lack depth and they seem to be incredibly selfish nd generally un-likable people. <br /><br />To quote a friend "Las Vegas is like Baywaych in a Casino" In my opinion thats way to generous, ████████ was way better, and much more realistic.	
pa1vasanth	testing	Nick  	Oh wow, the character shares my name first name! ████! This movie as bad as the first one, if not worse. Well, at least there's an actual octopus in this movie.	
pa1vasanth	testing	Ryan 	 Even if ████ wasn't such of an annoying person, this would still be bad, i said even if, where do we begin? "directors log" You will have the urge to snatch his tape recorder and pound it with a hammer or punt it into a lake, a haunted lake of course.	
pa1vasanth	testing	Disney 	 It would have been far better if they had done what ██████ did with Education For Death and been totally serious.	
pa1vasanth	testing	Hitchcock  	It works best as a Gallic ode to █████████'s Rear Window, because the notion of voyeurism is the constant theme that fires the intricate screenplay. 	
jdewberry	training	Anderson	The cast deserve props for acting with admirable sincerity: ████████, Cage and Reinhold all do respectable work with their parts, with fine support from Joe Pantoliano as Zandalee's merry flamboyant homosexual friend Gerri, Viveca Lindfors as Theirry's wise, perceptive mother Tatta, Aaron Neville as friendly bartender Jack, and Steve Buscemi as a funny, blithely shameless thief.
jdewberry	training	Cage		The cast deserve props for acting with admirable sincerity: Anderson, ████ and Reinhold all do respectable work with their parts, with fine support from Joe Pantoliano as Zandalee's merry flamboyant homosexual friend Gerri, Viveca Lindfors as Theirry's wise, perceptive mother Tatta, Aaron Neville as friendly bartender Jack, and Steve Buscemi as a funny, blithely shameless thief.
jdewberry	training	Reinhold	The cast deserve props for acting with admirable sincerity: Anderson, Cage and ████████ all do respectable work with their parts, with fine support from Joe Pantoliano as Zandalee's merry flamboyant homosexual friend Gerri, Viveca Lindfors as Theirry's wise, perceptive mother Tatta, Aaron Neville as friendly bartender Jack, and Steve Buscemi as a funny, blithely shameless thief.
jdewberry	training	Joe Pantoliano	The cast deserve props for acting with admirable sincerity: Anderson, Cage and Reinhold all do respectable work with their parts, with fine support from ██████████████ as Zandalee's merry flamboyant homosexual friend Gerri, Viveca Lindfors as Theirry's wise, perceptive mother Tatta, Aaron Neville as friendly bartender Jack, and Steve Buscemi as a funny, blithely shameless thief.
jdewberry	training	Olver Reed	███████████ was a great actor and he proves it in Oliver!
jdewberry	training	Shakespeare	I'll read ███████████!
jdewberry	training	Maggie Smith	Without Peter Ustinov and ████████████, this could easily have been a turkey.
jdewberry	training	Peter Ustinov	Without █████████████ and Maggie Smith, this could easily have been a turkey.
jdewberry	training	Roy Scheider	Great performances by ████████████ and the three "bad guys".
jdewberry	training	John Woo	I say "small" because it doesn't have a hundred guns firing or a dozen explosions, as in a ████████ film.
jdewberry	training	Darren Stein	████████████ is a director.
jdewberry	training	Darren Stein	One of the film's directors, ████████████, had access to a video camera and quickly took over as the artistic leader for all of the movies.
jdewberry	training	Lex Barker	The cast of supporting characters compares to You Can't Take It With You and contains an early bit by future Tarzan ██████████.
jdewberry	training	Tarzan		The cast of supporting characters compares to You Can't Take It With You and contains an early bit by future ██████ Lex Barker.
jdewberry	training	Anthony Wong	████████████ even makes a cameo as a drug lord (no suprises there; he makes a cameo in every HK movie).
jdewberry	training	Yuen Woo Ping	The fight scenes were choreographed by action scene psychopath █████████████, who also did the fights in The Matrix.
jdewberry	training	Beverly D'Angelo	Also there is ███████████████, who is underrated but great.
jdewberry	training	Jerry Orbach	The late ████████████ is great as the commercial director and Jeff Goldblum is excellent as the photographer.
jdewberry	training	Jeff Goldblum	The late Jerry Orbach is great as the commercial director and █████████████ is excellent as the photographer.
jdewberry	training	Cristina Raines	███████████████ gives an excellent performance as the lead, and Burgess Meredith gives an excellent supporting actor as the next-door neighbor.
jdewberry	training	Burgess Meredith	Cristina Raines gives an excellent performance as the lead, and ████████████████ gives an excellent supporting actor as the next-door neighbor.
jdewberry	training	Dalton		Both ██████ and Clarke are very believable as Rochester and Jane.
jdewberry	training	Clarke		Both Dalton and ██████ are very believable as Rochester and Jane.
jdewberry	training	Rochester	Both Dalton and Clarke are very believable as █████████ and Jane.
jdewberry	training	Jane		Both Dalton and Clarke are very believable as Rochester and ████.
jdewberry	training	Ang Lee		███████ clearly likes to ease into a film, to catch action, characters and setting on the hoof, as they emerge.
jdewberry	training	Adrien		When the lovely ladies start turning up dead for real, ██████ worries that he might be the killer.
jdewberry	training	Sean Connery	However ████████████ is of course a great actor and that is the only reason why he is still able to carry the movie as good as he does.
jdewberry	training	David Deal	Those interested should get the book on the subject by ██████████ - Television Fright Films of the 70's.
jdewberry	training	Irvin Kershner	In addition to the well-known artists listed, t also includes segments with ██████████████, Caleb Deschanel and a segment about Pixar Animation Studios.
jdewberry	training	Caleb Deschanel	In addition to the well-known artists listed, t also includes segments with Irvin Kershner, ███████████████ and a segment about Pixar Animation Studios.
jdewberry	training	Robert Carlyle	██████████████ overpowers and dominates the screen as no one else does.
jdewberry	training	Jackson Rippner	We are far more likely to encounter the benign evil of ███████████████ than Freddy Kruger, and Cillian Murphy (Batman Begins) does an excellent job of presenting a sociable, friendly, even charismatic killer.
jdewberry	training	Freddy Kruger	We are far more likely to encounter the benign evil of Jackson Rippner than █████████████, and Cillian Murphy (Batman Begins) does an excellent job of presenting a sociable, friendly, even charismatic killer.
jdewberry	training	Cillian Murphy	We are far more likely to encounter the benign evil of Jackson Rippner than Freddy Kruger, and ██████████████ (Batman Begins) does an excellent job of presenting a sociable, friendly, even charismatic killer.
jdewberry	training	Leo Genn	Typically of these British films, the cast showcases several established (████████), current (Anthony Steel) and up-and-coming (Peter Finch, David Tomlinson and Bill Travers) stars, to say nothing of innumerable reliable character actors (Anthony Dawson, Bryan Forbes, Michael Goodliffe and Walter Gotell).
jdewberry	training	Anthony Steel	Typically of these British films, the cast showcases several established (Leo Genn), current (█████████████) and up-and-coming (Peter Finch, David Tomlinson and Bill Travers) stars, to say nothing of innumerable reliable character actors (Anthony Dawson, Bryan Forbes, Michael Goodliffe and Walter Gotell).
jdewberry	training	Peter Finch	Typically of these British films, the cast showcases several established (Leo Genn), current (Anthony Steel) and up-and-coming (███████████, David Tomlinson and Bill Travers) stars, to say nothing of innumerable reliable character actors (Anthony Dawson, Bryan Forbes, Michael Goodliffe and Walter Gotell).
jdewberry	training	David Tomlinson	Typically of these British films, the cast showcases several established (Leo Genn), current (Anthony Steel) and up-and-coming (Peter Finch, ███████████████ and Bill Travers) stars, to say nothing of innumerable reliable character actors (Anthony Dawson, Bryan Forbes, Michael Goodliffe and Walter Gotell).
jdewberry	training	Bill Travers	Typically of these British films, the cast showcases several established (Leo Genn), current (Anthony Steel) and up-and-coming (Peter Finch, David Tomlinson and ████████████) stars, to say nothing of innumerable reliable character actors (Anthony Dawson, Bryan Forbes, Michael Goodliffe and Walter Gotell).
jdewberry	training	Anthony Dawson	Typically of these British films, the cast showcases several established (Leo Genn), current (Anthony Steel) and up-and-coming (Peter Finch, David Tomlinson and Bill Travers) stars, to say nothing of innumerable reliable character actors (██████████████, Bryan Forbes, Michael Goodliffe and Walter Gotell).
jdewberry	training	Bryan Forbes	Typically of these British films, the cast showcases several established (Leo Genn), current (Anthony Steel) and up-and-coming (Peter Finch, David Tomlinson and Bill Travers) stars, to say nothing of innumerable reliable character actors (Anthony Dawson, ████████████, Michael Goodliffe and Walter Gotell).
jdewberry	training	Michael Goodliffe	Typically of these British films, the cast showcases several established (Leo Genn), current (Anthony Steel) and up-and-coming (Peter Finch, David Tomlinson and Bill Travers) stars, to say nothing of innumerable reliable character actors (Anthony Dawson, Bryan Forbes, █████████████████ and Walter Gotell).
jdewberry	training	Walter Gotell	Typically of these British films, the cast showcases several established (Leo Genn), current (Anthony Steel) and up-and-coming (Peter Finch, David Tomlinson and Bill Travers) stars, to say nothing of innumerable reliable character actors (Anthony Dawson, Bryan Forbes, Michael Goodliffe and █████████████).
jdewberry	training	Damon	█████ plays his signature role with reserve but competency (which sounds minor but that it genuinely looks like Matt Damon could evade the CIA and Interpol is something), but noticeable moments of poignancy as he still struggles to find his humanity.
jdewberry	training	Julia Stiles	The music also helped generate much suspense, and there was hardly ever a moment to not nail-bite over. The acting is good, and the evolution of ████████████' character "Nicky" put her situation into a new highly sympathetic light.
jdewberry	training	Mark Knopfler	The █████████████ and Ry Cooder sound track is perfectly matched to the visuals and the content.
jdewberry	training	Ry Cooder	The Mark Knopfler and █████████ sound track is perfectly matched to the visuals and the content.
jdewberry	training	Donald Moffat	█████████████ is too one-note as his father-in-law.
jdewberry	training	Robin Williams	██████████████ does his best to combine comedy and pathos, but comes off a bit shrill.
jdewberry	validation	Matt Damon	The Bourne Ultimatum - Jason Bourne (██████████ in his best role ever), the newest spy kid on the block, brings his quest for his identity to a close as he also seeks to end the CIA's latest program "Blackbriar" to make super assassins like himself. I was so psyched for this one that I watched it's predecessors yesterday and today.
jdewberry	validation	Jason Bourne	The Bourne Ultimatum - ████████████ (Matt Damon in his best role ever), the newest spy kid on the block, brings his quest for his identity to a close as he also seeks to end the CIA's latest program "Blackbriar" to make super assassins like himself. I was so psyched for this one that I watched it's predecessors yesterday and today.
jdewberry	validation	Louis Sachar	The story was written by ████████████, yes, but it seems that this story is made for film, and Andrew Davis does a great job directing it.
jdewberry	validation	Andrew Davis	The story was written by Louis Sachar, yes, but it seems that this story is made for film, and ████████████ does a great job directing it.
jdewberry	validation	Jon Voight	The acting is fantastic, especially from ██████████, who plays Mr. Sir, a very evil character.
jdewberry	validation	Billie	When the gang attacks her grandparents house and her car, ██████ uses her black belt prowess to fight them off.
jdewberry	validation	Steve Carell	Overall, ████████████ gives one of the funniest performances I've ever seen and just about everyone in the cast distributes to the non-stop laughter.
jdewberry	validation	Steve Carell	Stealing hilarious scenes from Bruce Almighty and especially Anchorman, ████████████ has come a long way, as finally, and proudly, is given his moment to shine as the star.
jdewberry	validation	Steve Carell	████████████ stars as Andy Stitzer, The 40 Year-Old Virgin.
jdewberry	validation	Andy Stitzer	Steve Carell stars as ████████████, The 40 Year-Old Virgin.
jdewberry	validation	Barbra Bouchet	Fourteen years later, Kitty (██████████████) has become a successful fashion photographer.
jdewberry	validation	Frances Bay	Grapples with in the ring, and ███████████ in one of her standard old woman roles.
jdewberry	validation	Robert Tessier	Popping up in cool bit parts are ██████████████ as a gruff bartender, Sally Kirkland as a saucy hooker, Kathy Shower as a fierce female wrestler B.J.
jdewberry	validation	Sally Kirkland	Popping up in cool bit parts are Robert Tessier as a gruff bartender, ██████████████ as a saucy hooker, Kathy Shower as a fierce female wrestler B.J.
jdewberry	validation	Michael Callan	Troubled men's magazine photographer Adrien Wilde (well played with considerable intensity by ██████████████) has horrific nightmares in which he brutally murders his models.
jdewberry	validation	Adrien Wilde	Troubled men's magazine photographer ████████████ (well played with considerable intensity by Michael Callan) has horrific nightmares in which he brutally murders his models.
jdewberry	validation	Parker Posey	It's dialogue is very smart, and the performance of ████████████ is outstanding as she stars in the title role of Fay Grim.
jdewberry	validation	Fay Grim	It's dialogue is very smart, and the performance of Parker Posey is outstanding as she stars in the title role of ████████.
jdewberry	validation	Hal Hartley	Fans of ███████████ will not be disappointed!!
jdewberry	validation	Hamlet	This is coming from someone who said ██████ was good (The Ethan Hawke Version?)
jdewberry	validation	Ethan Hawke	This is coming from someone who said Hamlet was good (The ███████████ Version?)
jdewberry	validation	Jack Nicholson	The lead Martian's ██████████████ take-off is side-splitting.
jdewberry	validation	Omar Epps	Other stars that make this film are █████████, Ice Cube, and Jennifer Connelly.
jdewberry	validation	Ice Cube	Other stars that make this film are Omar Epps, ████████, and Jennifer Connelly.
jdewberry	validation	Jennifer Connelly	Other stars that make this film are Omar Epps, Ice Cube, and █████████████████.
jdewberry	validation	Lawrence Fishburne	██████████████████ does an over-the-top performance as the sagacious Profesor Phipps.
jdewberry	validation	Errol Flynn	Lots of action too of sword fighting clashes, ship battles, daring leaps of ███████████ (Robin Hood on board ship!).
jdewberry	validation	Janine Turner	The film looks great and there is great support from █████████████, Michael Rooker and John Lithgow.
jdewberry	validation	Michael Rooker	The film looks great and there is great support from Janine Turner, ██████████████ and John Lithgow.
jdewberry	validation	John Lithgow	The film looks great and there is great support from Janine Turner, Michael Rooker and ████████████.
jdewberry	testing	Safran Foer	The Hollywood industry and writers such as ███████████ more than allude to 9/11 in their works.
jdewberry	testing	James Frain	For example, when Kenny (███████████) asks Ginger (Ian Hart) why he does "it", Ginger can't come up with a morally acceptable answer.
jdewberry	testing	Ian Hart	For example, when Kenny (James Frain) asks Ginger (████████) why he does "it", Ginger can't come up with a morally acceptable answer.
jdewberry	testing	Mervyn Leroy	But the film, directed by legendary director ████████████, was constantly vetted and script approval as well as every aspect of the film, down to clothing, was closely watched and controlled by J. Edgar Hoover.
jdewberry	testing Henry Thomas	████████████ gives a good performance as Raymond Toker, a young loner who finds a baby abandoned in the woods.
jdewberry	testing Jean Simmons	Police believe ████████████ is guilty of a crime, when she plainly isn't.
jdewberry	testing	Capone	In his day, ██████ may have had bootlegging as a means through which to line his coffers with illicit gain, but Lopez has the modern day equivalent, and it's even more lucrative: Cocaine.
jdewberry	testing Julia Stiles	At his bachelor party, Paul gets a little too drunk and somehow ends up taking a pretty dancer named Becky (████████████) back to his digs.
jdewberry	testing	Edward Woodward	███████████████ is the best Ghost of Christmas Present I've ever seen.
jdewberry	testing	Michael Meyers	John Carpenter uses ██████████████ as a metaphor against the implied safety of middle class suburbia.
sanojdoddapaneni	testing	Kevin Bacon	I tried to love this movie I really did ███████████ plays a cerebral palsy victim who is befriended by a 10-year-old girl whose fantasies of digging to China, flying away in a balloon, and so on, are her way of coping with a dreary existence I admit I did fast-forward through one of the scenes in which the two of them share friendship and simple pleasures while soulful piano music plays in the background Okay, three or four of those type scenes Maybe nine or ten Okay, okay, it was fourteen But I did sit and watch most of them.
sanojdoddapaneni	testing	Hackman	But to be a little more precise I do not think that it is as bad as it actually could be Eventhough the actors (famous to semi-famous) didn't do a very great job Directors fault? Could be the script as well hard for me to say? Anyway, if you are after a lot of cool guns and action this is not the movie for you but they do run around with a lot of ww2 vintage guns Sort of fun :) Well I guess I could say more but it just doesn't feel as if it's worth it If you are desperate enough or a ███████ freak see it otherwise don't! Live well and prosper
sanojdoddapaneni	testing	Phillip Seymour Hoffman	 This movie really has nothing going for it With the Reverend played by ███████████████████████ complaining about his constipation and other toilet humor in a 2.5 hour movie, you know that they made no cuts at all and left the crap in, literally It's a waste of good talent, and a total embarrassment Dreadful! 
sanojdoddapaneni	testing	Dr Klaus	A friend of mine loves tacky horror films so I often get to see low budget stuff like this This is, however the first time I have been compelled to write a review of one... Put simply this is probably the worst film I have ever seen! Even worse then Boggy Creek II! The entire budget for the film seems to have been spent on a brief scene in the middle when ████████ stands in this chamber thing & turns all vampire-ish. The only good thing to say about it is that it was hilarious after a few beers (but for all the wrong reasons).
sanojdoddapaneni	testing	Barney	This may just be the worst movie of all time Never have I seen such horrible film making before in my life Its so bad I think I want to go watch ██████ instead I advise everyone who reads this to write a petition to get this movie off of our film history so we can never hear from it again I give it 1 out of 10.
sanojdoddapaneni	testing	Mark	This documentary is such a wonderful example of what an entertaining and amazing experience a documentary can be, if done so well as this The subject, ████, is smart, funny and very driven, and this story of his personal fight to live his dreams will be inspiring to anyone who knows what it is like to harbor an impossible dream See this mov
sanojdoddapaneni	testing	Tripper	Seeing this movie always reminds me of what I remember summer being like, God! such a long time ago The entire scene involving the overnight, from the canoe procession to the end of the trip, is precious, and ███████'s story about the homicidal maniac is urban legend right out of my youth A highly entertaining movie, made many times better by the awful sequels that followed.
sanojdoddapaneni	testing	Jon Bon Jovi	This delightful movie tells the story of buds And it's incredible You'll laugh, and you'll smile, and you'll laugh It's really all about the laughs When ████████████ is funny in a movie, it's a heck of a movie! 'nuff said Now go watch it!
sanojdoddapaneni	testing	Meryl Streep	A great story, although one we are certainly familiar with ████████████ proves that she is truly the best actress in film today Very entertaining, and just what I expected Don't go see this film unless you are prepared to be used and manipulated emotionally, but if you have that expectation, then you will enjoy the ride.....
sanojdoddapaneni	testing	Natalie Portman	Its the best movie I have seen in 2000, it has the beautiful and talented ███████████████ in it It has a great storyline, cast and soundtrack I enjoyed it very much 10 out of 10
sanojdoddapaneni	validation	John Kielty's	Seriously engaging, intelligent and thought provoking drama at its very best Mean, gripping, moody and captivating Every home should have a copy! Don't take my word for it see it yourself One Life Stand makes you consider your own lifestyle and how you treat your family and friends Beautiful photography and impressive acting makes for one of the best cinema-graphic experiences of the year █████████████ debut is a delight and adds a real touch of truth and realism to this deep and gritty film This is a film that cares and has an honesty that is unequalled in recent years No car chases, but a film packed with hum our and emotion I first saw this film screened at the Edinburgh film festival in 2000 and am now delighted to be able to own a copy on DVD.
sanojdoddapaneni	validation	Chipmunks	There's also a very sweet song in which the █████████ sing about traveling the world and we get to see them at major landmarks throughout the globe One thing about the Chipmunk characters is that, despite the potentially annoying vocals, the songwriters always managed to write songs that were catchy without ever being grating.
sanojdoddapaneni	validation	Paul Henreid	████████████ plays a tough guy in here.
sanojdoddapaneni	validation	SHIRLEY VALENTINE	UNCONDITIONAL LOVE is surprisingly entertaining While the plot goes off in perhaps too many directions, making for an overlong movie, it never fails to charm and ingratiate itself The several plotlines, one warmly reminiscent of █████████████████, provide ample smiles, laughs, wisdom and tenderness It all shouldn't work, and at times it certainly bumps along, but forgive its inconsistencies, sit back and have a good time It's a charmer!
sanojdoddapaneni	validation	Zoey	████ and her stupid friends are weak characters and the pot sucks and is really lame  The lame continuuity and pot sucks.
sanojdoddapaneni	validation	Henry Brandon	Another must have film █████████████ is a favorite! I was so surprised when I learned years ago that he was from Germany because he sounds & looks so typically American! And wasn't he great in The Searchers as Chief Scar??!! Another of my favorites, I have it & watch it over & again Now if I could add this one to my collection, it would make my day! This is a great wildlife story & film for all ages The scenery is so absolutely beautiful & the plight of the endangered snow leopards is told with such great emotion it will spark the interest in endangered species in anyone, especially children If I could I would give a copy to all of my grands & great grands!
sanojdoddapaneni	validation	Clifton Webb	████████████ as Mr Scoutmaster is one of the all-time greats for comedy and remembering an innocence, now diminished in the world I cannot understand why the networks like American Movie Classics and such do not show this movie, although I have requested it time and again. This movie should be shown to children now for its portrayal of loyalty, respect, dedication and resolve to achieve the best possible on an individual basis There is so much low self-esteem talked about in present daily lives, but this movie, among many, many others, would be a wonderful learning tool for the present-day younger generation to see what can be accomplished by common sense and decency and pride in yourself and your achievements to better yourself Sad that this type of movie does not appeal to modern audiences It certainly appealed to us 'baby boomer' generation of yesterday OLD LESSONS ARE UNIVERSAL AND TIMELESS.
sanojdoddapaneni	validation	Faulkner	While you may disagree with the politics, the artistry of the analogy, coupled with the more overt politics of the film, are wonderful. Had only ████████ (I am from Alabama) had the power of film beyond the Hollywood market, what interesting tales would have been told.
sanojdoddapaneni	validation	Rosie Perez	This was a great movie Something not only for Black History month but as a reminder of the goodness of people and the statement that it truly does take a village to raise a child The performances by S Eptath was outstanding Mos Def and his singing was off the hook Had to do a double take when I saw that was ███████████ there But the supporting cast of actors and actresses made this worth watching All the different stories they had was amazing And how Nanny protected Jr and literally everyone else that was in her presence I can truly understand her being the matriarch of that time period and even more so how tired she was in helping everyone Cant wait for it to come out on DVD It would be a welcome addition to any movie library.
sanojdoddapaneni	validation	Stanley Kubrick	If this film had been directed by DW Griffith or ███████████████, it would be recognized for what it is: a cinematic masterpiece, told with depth and subtlety and passion, a film with no equal in the visual realm It is unremittingly stunning and also very brutal in its depiction of our great heritage of greed and annihilation And of course, what the reviewers could not abide is it doesn't tell a simple narrative dick-and-jane tale like 99% of hollywood output Its characters are complex and confused by their passions and thoughts, fears and emotions They even appear to be thinking, something your average movie reviewers do not understand and cannot abide, so they destroyed it See the original uncut wide-screen version It is stunning.
sanojdoddapaneni	validation	Angelina	This was a pretty good movie that was overall done quite well The idea about Mercy (won't spoil) was original also I think ████████ did a good job as one of her first movies The only things I frowned upon were some of the corny fight scenes (won't spoil either) I liked the first movie and I liked this one as well 7/10
sanojdoddapaneni	validation	Edward Furlong	I prefer some in a horror flick if it can't come up with an original plot/premise And that tired as all hell reality TV show gone wrong thing? It's been done before and a lot better Like Wrong Turn 2 or...ummm....whatever that movie was called with ██████████████.
sanojdoddapaneni	validation	Jim Beam	One of the longest 80 minutes of my life I trooped it out though with the help of my old friend ████████.
sanojdoddapaneni	validation	Hanks	The good thing is that this movie will take a bath in the box office and maybe producers will learn to keep from tampering with a story that needs no improvement █████ was overdone and i don't see why there couldn't have been other actors' voices be used.
sanojdoddapaneni	validation	Demi Moore	Apart from that, it is very entertaining and, yes, ██████████ is absolutely splendid.
sanojdoddapaneni	validation	Siegel	There are films that are not released in theaters but on video This one should be allowed to age and disintegrate the way old nitrate film stock does No story, inept violence, over acted, badly written and the sorry thing is that the star was not the only bad part in the film And I did like and enjoyed some of ██████'s other movies.
sanojdoddapaneni	validation	Paul Newmans	A shame, because some scenes really shine Two or three, that is. 4 out of 10 grubby ████████████.
sanojdoddapaneni	validation	Mr Ripper	This film could have included longer, better interviews with the people themselves, letting them tell their stories Instead █████████ indulgently draws the story towards himself making it some kind of personal journey, and unfortunately it doesn't end up being much of one I never really got a sense of any growth as he explores the subject, and he never indicates what about the subject pulled him in in the first place He just drags us from one place to the next, brushes lightly on the situation and characters, hangs around showing too much uneventful slow-motion footage of people just walking around the streets, then moves on to his next destination.
sanojdoddapaneni	validation	Gary Busey's	A story that could have been interesting is completely wasted by incredibly bad acting and horrible editing/directing Maybe it could become a classic because of all the weird over-acting (████████████ character for example)
sanojdoddapaneni	validation	Mark Griffiths	ell, this movie shows us that ██████████████ and producers think we all are idiots.
sanojdoddapaneni	validation	Bruce Dern's	████████████ one minute part is orders of magnitude better than anything else in this flick.
sanojdoddapaneni	validation	Siegel	There are films that are not released in theaters but on video This one should be allowed to age and disintegrate the way old nitrate film stock does No story, inept violence, over acted, badly written and the sorry thing is that the star was not the only bad part in the film And I did like and enjoyed some of ██████'s other movies.
sanojdoddapaneni	validation	Lena Endre	The story line was very straight forward and easy to follow and contained a lot of no-brainer comedy to a point where it just got boring Some of the audience seemed to find it funny but I like more intelligent humor. There were several known Swedish actors in the movie and their performance were decent considering the script ██████████ was good looking as always. I don't remember the original movie so I can't say if it's better or worse. If you enjoy movies like Sällskapsresan this movie might be worth taking a look at.
sanojdoddapaneni	validation	Sandra	I saw this by chance showing on cable on wanted to like it as I thought ██████ was quite funny from what I remembered The only facial movement I had throughout the movie was jaw dropping stunned at how awful a movie I just suffered through. The person who said this is one of the funniest movies of all time please point out one line, just one scene, that is even worth a chuckle. She is a much better singer than I remember her to be, but I didn't want to watch a lounge act. I think this is a movie try hard to like since they think they should and don't view it objectively.
sanojdoddapaneni	validation	Giovanni Bocaccio's	Though the title may suggest examples of the 10 commandments, it is a definitely incorrect assumption This is an adaptation of 9 SEEMINGLY unrelated stories from ███████████████████ 14th century Decameron story collection. Set within a medieval Italian town's largely peasant population, it is a diatribe on the reality of sex (and its consequences) within that world and time A realistic view of Life within this world, it sometimes feels like a journey back in time. Given the depicted human element of its time, one can also see the more adventurous side of morality in its protagonists - as well as the ironies of Life, at times Or it may also be viewed as a general satire of the Catholic Church's rules. Nothing terribly special, but definitely interesting if one comes with no expectations or assumptions.
sanojdoddapaneni	validation	Quenton Tarantino	What an appalling piece of rubbish!!! Who ARE all these people who blubber on about how good this is? Yes, it's arty; and yes, it's foreign, but ... that's not enough The plot is boring and disjointed, like a reality show but not so slickly made. The people are intrinsically uninteresting; but as characters they don't have enough depth to feel empathy for them If they are based on real people then I feel very, very sorry for them. The violence (and some of it is very violent) seems quite ostentatious and gratuitous It's like the producer has visions of being █████████████████ Not that I think very much of him, either. And oh yes: if I had neighbours like these, I'd move!
sanojdoddapaneni	validation	Darth Vadar	Looks like, all we see is a bright light signaling his approach and all we hear is a cheap interpretation of ███████████ voices and a soundtrack stolen from various horror movies.
sanojdoddapaneni	validation	Ross Partridge	A homeless man hands it over to artist hairdo ██████████████, who then has strange visions and discovers some unpleasant revelations about his past.
sanojdoddapaneni	validation	Tom Cruise	Great cast Great acting Unpredictable story line for the first half hour or so I was really wanting to know what was going to happen to each of these unredeeming characters, and how their seemingly disparate lives would become intertwined But when the writers took out the glue to start connecting the players, they mistakenly used super glue and brought the movie to a standstill for the last two hours I kept thinking it would get better, but it only got worse Don't believe the reviews This is a waste of time  Think about it -- ██████████ made ugly -- why? The gorgeous hunky bartender wearing braces -- why? I know it had to do with the plot, but without them, at least there would have been one attractive cast member to remember.
sanojdoddapaneni	validation	Buzz Aldrin	1st the good news The 3-D is spectacularly well done, and they don't go for the gotcha gimmicks The film is based on the true story of the high point in human history, and even features one of the actual participants in that story: ███████████. And now the meat of the matter: It's about FLIES, for krissakes! Flies with big, googy human eyes, true, but flies nonetheless Remember when I likened the Underworld movies to rats vs cockroaches? That wasn't intended as praise, and I never dreamed anyone would take it literally This one's got even less empathy going for it Baby maggots? Ugh In one of those odd confluences of Hollywood groupthink, this flik was evidently on the drawing boards at the same time as Space Chimps, also about critters in space. Go rent Apollo 13 and see a 9-rated movie about the REAL space program (RIP).
sanojdoddapaneni	training	Wanda	Was that █████ the Evil Lesbian (as billed in the credits)?
sanojdoddapaneni	training	Michael Dorn	Don't be fooled by the IMDB credits. This is not a ████████████ movie.
sanojdoddapaneni	training	Gail O'Grady	This movie is an embarrassment to film-making I can't believe it was even listed as a comedy - not funny Not only was the script atrocious, but the casting people should be shot ████████████ is just a great actress, but beyond that.. %99 of the rest of the cast...ouch Pretty much everyone else...wow it is hard to even...wow Here is the number one rule about comedy DON'T TRY TO BE FUNNY There are a lot of very talented actors in Canada who can do drama and comedy - none of them were used in this film Canadian nepotism and casting directors are helping to perpetuate bad film-making in Canada I realize this is technically a US film, but look at the director, actors, location, etc I just saw this on Bravo - they should be ashamed that they bought the rights to show this film Again, there are a lot of great films out there that can't get airtime and they show this crap.
sanojdoddapaneni	training	Emile Zola	This movie reminds me of Irréversible (2002), another art-work movie with is a violent and radical approach of human nature I did not like the movie but I cannot say that it is a bad movie, it is just special I reminds me also of Camping Cosmos (1996) where a bunch of low-class figures are residents of a camp at the sea in Belgium The same description of people living together, side by side against their wills and with all the confrontation of characters that do not match together I also thought about the books by the French writer ██████████ who was a writer of the style that is naturalism I did not like the movie and I also do not like the people who are in it They all seem so vulgar, without any basic good taste One could ask the question why do they live, they all seem to be on this planet a a member of a big farce, forced to live against their will Or you could say: the hell is on this world.
sanojdoddapaneni	training	Christopher Lee	I actually have a fondness for ███████████████, but this just wasn't up to his other performances.. and he was one of the better actors. The film does not live up to its premise It's not that scary, it's overly melodramatic, and it draaaaaags Every time I thought, Oh, HERE comes the good part the good part never quite arrived. The Evil Ones aren't at all convincing Most of the other characters were also lacking in depth. Perhaps if I'd been in the proper frame of mind, I might have enjoyed some MSTie-fication at this film's expense, but... Naaahhh.. Didn't really seem to be worth the effort It wasn't really very good, it wasn't really very bad, it was just mediocre.
sanojdoddapaneni	training	Uma Thurman	This is a candidate for the single most disappointing movie experience of my lifetime Cool title, excellent director (I saw To Die For and Drugstore Cowboy before this), and hey - ███████████ in the cast How can you go wrong? Well, that is a question that throbbed in my temples for hours after I watched this turkey. Disjointed and unfunny in an attempt to be offbeat, this is a dead-zone of a movie that should be avoided at all costs Its critical lambasting was well deserved You have here one of those rare films that does not contain a single redeeming quality Zero out of ****.
